333.0,210.0,267.0,295.0
371.0,241.0,307.0,326.0
408.0,270.0,346.0,357.0
448.0,299.0,390.0,388.0
489.0,331.0,433.0,420.0
530.0,361.0,474.0,452.0
563.0,387.0,509.0,475.0
605.0,414.0,545.0,505.0
643.0,442.0,587.0,534.0
676.0,447.0,671.0,562.0
680.0,449.0,746.0,541.0
680.0,440.0,787.0,475.0
685.0,407.0,792.0,407.0
683.0,341.0,790.0,330.0
675.0,265.0,784.0,248.0
667.0,204.0,774.0,191.0
660.0,149.0,754.0,104.0
637.0,130.0,683.0,29.0
620.0,136.0,578.0,31.0
611.0,152.0,501.0,146.0
620.0,176.0,525.0,222.0
643.0,225.0,550.0,280.0
659.0,297.0,551.0,308.0
648.0,366.0,543.0,338.0
632.0,434.0,536.0,366.0
614.0,465.0,518.0,402.0
583.0,499.0,498.0,430.0
570.0,523.0,477.0,453.0
506.0,559.0,464.0,460.0
414.0,579.0,408.0,469.0
335.0,579.0,348.0,471.0
251.0,561.0,296.0,463.0
173.0,482.0,288.0,450.0
174.0,424.0,294.0,399.0
164.0,410.0,250.0,324.0
139.0,400.0,180.0,302.0
74.0,361.0,154.0,285.0
25.0,297.0,124.0,254.0
10.0,244.0,109.0,224.0
22.0,157.0,118.0,200.0
129.0,199.0,109.0,80.0
151.0,206.0,201.0,111.0
181.0,228.0,245.0,145.0
228.0,262.0,293.0,183.0
